setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
sfa2u,"Street Fighter Alpha 2 (US, 960430)",USA,960430,yes,Street Fighter Alpha 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa2ur1,"Street Fighter Alpha 2 (US, 960306)",USA,960306,yes,Street Fighter Alpha 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3,"Street Fighter Alpha 3 (EU, 980904)",Europe,980904,no,,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3b,"Street Fighter Alpha 3 (W, 980629)",World,980629,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3ce,"Street Fighter Alpha 3- Challenger's Edition (US, 210408)",USA,210408,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3ce,"Street Fighter Alpha 3- Challenger's Edition (US, 210408)",USA,210408,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3h,"Street Fighter Alpha 3 (HS, 980904)",Hispanic,980904,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3hr1,"Street Fighter Alpha 3 (HS, 980629)",Hispanic,980629,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3u,"Street Fighter Alpha 3 (US, 980904)",USA,980904,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3ur1,"Street Fighter Alpha 3 (US, 980629)",USA,980629,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3us,"Street Fighter Alpha 3 (US, 980616, SAMPLE Version)",USA,"980616, SAMPLE Version",yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfach,"Street Fighter Alpha- Warriors' Dreams (US, CPS Changer, 950727)",USA,"CPS Changer, 950727",no,,Capcom CPS-1,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfan,"Street Fighter (W, Pneumatic Buttons)",World,Pneumatic Buttons,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfar1,"Street Fighter Alpha- Warriors' Dreams (EU, 950718)",Europe,950718,yes,Street Fighter Alpha- Warriors' Dreams,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfar2,"Street Fighter Alpha- Warriors' Dreams (EU, 950627)",Europe,950627,yes,Street Fighter Alpha- Warriors' Dreams,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfar3,"Street Fighter Alpha- Warriors' Dreams (EU, 950605)",Europe,950605,yes,Street Fighter Alpha- Warriors' Dreams,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfau,"Street Fighter Alpha- Warriors' Dreams (US, 950627)",USA,950627,yes,Street Fighter Alpha- Warriors' Dreams,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfj,"Street Fighter (JP, Protected)",Japan,Protected,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfjan,"Street Fighter (JP, Pneumatic Buttons)",Japan,Pneumatic Buttons,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfjbl,"Street Fighter (JP, bootleg)",Japan,bootleg,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfp,Street Fighter (Prototype),,Prototype,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfua,"Street Fighter (US, Protected, Set 2)",USA,"Protected, Set 2",yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfw,"Street Fighter (W, Protected)",World,Protected,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfz2a,"Street Fighter Zero 2 (AS, 960227)",Asia,960227,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2al,"Street Fighter Zero 2 (AS, 960826)",Asia,960826,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2al,"Street Fighter Zero 2 Alpha (AS, 960813, Unlocked)",Asia,"960813, Unlocked",yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2al,"Street Fighter Zero 2 Alpha (AS, 960825, Unlocked)",Asia,"960825, Unlocked",yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alb,"Street Fighter Zero 2 (W, 960813)",World,960813,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alh,"Street Fighter Zero 2 (HS, 960813)",Hispanic,960813,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alj,"Street Fighter Zero 2 (JP, 960805)",Japan,960805,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alj,"Street Fighter Zero 2 (JP, 960805)",Japan,960805,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2alj,"Street Fighter Zero 2 Alpha (JP, 960805, Unlocked)",Japan,"960805, Unlocked",yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2b,"Street Fighter Zero 2 (W, 960531)",World,960531,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2br1,"Street Fighter Zero 2 (W, 960304)",World,960304,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2h,"Street Fighter Zero 2 (HS, 960304)",Hispanic,960304,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2j,"Street Fighter Zero 2 (JP, 960430)",Japan,960430,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2jr1,"Street Fighter Zero 2 (JP, 960227)",Japan,960227,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz2n,"Street Fighter Zero 2 (W, 960229)",World,960229,yes,Street Fighter Zero 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3a,"Street Fighter Zero 3 (AS, 980904)",Asia,980904,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3ar1,"Street Fighter Zero 3 (AS, 980701)",Asia,980701,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3j,"Street Fighter Zero 3 (JP, 980904, Unlocked)",Japan,"980904, Unlocked",yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3j,"Street Fighter Zero 3 (JP, 980904)",Japan,980904,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3jr1,"Street Fighter Zero 3 (JP, 980727)",Japan,980727,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3jr2,"Street Fighter Zero 3 (JP, 980629, Training Edition v1.1) [hb]",Japan,"980629, Training Edition v1.1",yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,yes,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfz3jr2,"Street Fighter Zero 3 (JP, 980629)",Japan,980629,yes,Street Fighter Zero 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
