setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
spf2tu,"Super Puzzle Fighter II Turbo (US, 960620)",USA,960620,yes,Super Puzzle Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
spf2xj,"Super Puzzle Fighter II X (JP, 960531)",Japan,960531,yes,Super Puzzle Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
ssf2,"Super Street Fighter II- The New Challengers (W, 931005)",World,931005,no,,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2a,"Super Street Fighter II- The New Challengers (AS, 931005)",Asia,931005,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2ar1,"Super Street Fighter II- The New Challengers (AS, 930914)",Asia,930914,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2h,"Super Street Fighter II- The New Challengers (HS, 930911)",Hispanic,930911,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2j,"Super Street Fighter II- The New Challengers (JP, 931005)",Japan,931005,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2jr1,"Super Street Fighter II- The New Challengers (JP, 930911)",Japan,930911,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2jr2,"Super Street Fighter II- The New Challengers (JP, 930910)",Japan,930910,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2r1,"Super Street Fighter II- The New Challengers (W, 930911)",World,930911,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2t,"Super Street Fighter II Turbo (W, 940223)",World,940223,no,,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2ta,"Super Street Fighter II Turbo (AS, 940223, Training Edition) [hb]",Asia,"940223, Training Edition",yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,yes,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2ta,"Super Street Fighter II Turbo (AS, 940223)",Asia,940223,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tb,"Super Street Fighter II- The Tournament Battle (W, 931119)",World,931119,no,,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tba,"Super Street Fighter II- The Tournament Battle (AS, 931005)",Asia,931005,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbh,"Super Street Fighter II- The Tournament Battle (HS, 931005)",Hispanic,931005,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbj,"Super Street Fighter II- The Tournament Battle (JP, 931005)",Japan,931005,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbj1,"Super Street Fighter II- The Tournament Battle (JP, 930911)",Japan,930911,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbr1,"Super Street Fighter II- The Tournament Battle (W, 930911)",World,930911,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tbu,"Super Street Fighter II- The Tournament Battle (US, 930911)",USA,930911,yes,Super Street Fighter II- The Tournament Battle,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2th,"Super Street Fighter II Turbo (HS, 940223)",Hispanic,940223,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tnl,"Super Street Fighter II Turbo (W, New Legacy v0.4)",World,New Legacy v0.4,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,2020,Capcom,Fighting,,15kHz,Horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tu,"Super Street Fighter II Turbo (US, 940223)",USA,940223,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2tur1,"Super Street Fighter II Turbo (US, 940223)",USA,940223,yes,Super Street Fighter II Turbo,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2u,"Super Street Fighter II- The New Challengers (US, 930911)",USA,930911,yes,Super Street Fighter II- The New Challengers,Capcom CPS-2,Street Fighter,no,no,1993,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xj,"Super Street Fighter II X- Grand Master Challenge (JP, 940311)",Japan,940311,no,,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xj,"Super Street Fighter II X- Grand Master Challenge (JP, 940311)",Japan,940311,yes,Super Street Fighter II X- Grand Master Challenge,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xjr1,"Super Street Fighter II X- Grand Master Challenge (JP, 940223)",Japan,940223,yes,Super Street Fighter II X- Grand Master Challenge,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xjr1,"Super Street Fighter II X- Grand Master Challenge (JP, 940223)",Japan,940223,yes,Super Street Fighter II X- Grand Master Challenge,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ssf2xjr1r,"Super Street Fighter II X- Grand Master Challenge (JP, 940223)",Japan,940223,yes,Super Street Fighter II X- Grand Master Challenge,Capcom CPS-2,Street Fighter,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
strider,"Strider (US, B-Board, 89624B-2)",USA,"B-Board, 89624B-2",no,,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
striderj,Strider Hiryu (JP),Japan,,yes,Strider,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
striderjr,"Strider Hiryu (JP, Resale)",Japan,Resale,yes,Strider,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
striderua,"Strider (US, B-Board, 89624B-3)",USA,"B-Board, 89624B-3",yes,Strider,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
strideruc,"Strider (US, B-Board, 89624B-3)",USA,"B-Board, 89624B-3",yes,Strider,Capcom CPS-1,Strider,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
tetris1,"Tetris (JP, Set 1)",Japan,Set 1,yes,Tetris,Sega System 16A,Tetris,no,no,1988,Sega,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
tetris2,"Tetris (JP, Set 2)",Japan,Set 2,yes,Tetris,Sega System 16A,Tetris,no,no,1988,Sega,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
tetris3,"Tetris (JP, Set 3)",Japan,Set 3,yes,Tetris,Sega System 16A,Tetris,no,no,1988,Sega,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
tetris,"Tetris (JP, Set 4)",Japan,Set 4,no,,Sega System 16A,Tetris,no,no,1988,Sega,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
tigeroad,Tiger Road,,,no,,Capcom CPS-0,,no,no,1987,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
tigeroadu,"Tiger Road (US, Romstar)",USA,Romstar,yes,Tiger Road,Capcom CPS-0,,no,no,1987,Capcom / Romstar,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
timescan,"Time Scanner (W, Set 2)",World,Set 2,no,,Sega System 16B,,no,no,1987,Sega,Pinball,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
timescan1,"Time Scanner (W, Set 1)",World,Set 1,no,,Sega System 16B,,no,no,1987,Sega,Pinball,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
tokio,Tokio (Scramble Formation) (Newer),,Newer,no,,,,no,no,1986,Taito,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
tokiob,Tokio (Scramble Formation) [bl],,,yes,Scramble Formation,,,no,yes,1986,Taito,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
tokioo,Tokio (Scramble Formation) (Older),,Older,yes,Scramble Formation,,,no,no,1986,Taito,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
tokiou,Tokio (Scramble Formation) (US),USA,,yes,Scramble Formation,,,no,no,1986,Taito,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
topsecrt,"Top Secret (JP, Rev Old)",Japan,Rev Old,yes,Bionic Commando,Capcom CPS-0,,no,no,1987,Capcom,Racing,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
topsecrt2,"Top Secret (JP, Rev B)",Japan,Rev B,yes,Bionic Commando,Capcom CPS-0,,no,no,1987,Capcom,Racing,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
toramich,Torae no Michi (JP),Japan,,yes,Tiger Road,Capcom CPS-0,,no,no,1987,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
tricktrp,Trick Trap (W),World,,no,,,,no,no,1987,Konami,Shooter - Multidirectional,,15kHz,vertical (cw),yes,,2 (alternating),8-way,,2
trojan,"Trojan (US, Set 1)",USA,Set 1,no,,,,no,no,1986,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
trojana,"Trojan (US, Set 2)",USA,Set 2,yes,Trojan,,,no,no,1986,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
trojanb,Trojan [bl],,,yes,Trojan,,,no,yes,1986,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
trojanj,Tatakai no Banka (JP),Japan,,yes,Trojan,,,no,no,1986,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
trojanr,Trojan (Romstar),,Romstar,no,,,,no,no,1986,Capcom / Romstar,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
uecology,"Ultimate Ecology (JP, 931203)",Japan,931203,yes,Eco Fighters,Capcom CPS-2,,no,no,1993,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
unsquad,U.N. Squadron (US),USA,,no,,Capcom CPS-1,U.N. Squadron,no,no,1989,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
vampj,"Vampire- The Night Warriors (JP, 940705)",Japan,940705,yes,Vampire- The Night Warriors,Capcom CPS-2,Darkstalkers,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vampja,"Vampire- The Night Warriors (JP, 940705, alt)",Japan,"940705, alt",yes,Vampire- The Night Warriors,Capcom CPS-2,Darkstalkers,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vampjr1,"Vampire- The Night Warriors (JP, 940630)",Japan,940630,yes,Vampire- The Night Warriors,Capcom CPS-2,Darkstalkers,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
varth,"Varth- Operation Thunderstorm (W, 920714)",World,920714,no,,Capcom CPS-1,,no,no,1992,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,3
varthj,"Varth- Operation Thunderstorm (JP, 920714)",Japan,920714,yes,Varth,Capcom CPS-1,,no,no,1992,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,3
varthjr,"Varth- Operation Thunderstorm (JP, 920714)",Japan,920714,yes,Varth,Capcom CPS-1,,no,no,1992,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,3
varthr1,"Varth- Operation Thunderstorm (W, 920612)",World,920612,yes,Varth,Capcom CPS-1,,no,no,1992,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,3
varthu,"Varth- Operation Thunderstorm (US, 920612)",USA,920612,yes,Varth,Capcom CPS-1,,no,no,1992,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,3
vhunt2,"Vampire Hunter 2- Darkstalkers Revenge (JP, 970929)",Japan,970929,no,,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vhunt2r1,"Vampire Hunter 2- Darkstalkers Revenge (JP, 970913)",Japan,970913,yes,Vampire Hunter 2- Darkstalkers Revenge,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vhuntj,"Vampire Hunter- Darkstalkers' Revenge (JP, 950316)",Japan,950316,no,,Capcom CPS-2,Darkstalkers,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vhuntjr1,"Vampire Hunter- Darkstalkers' Revenge (JP, 950307)",Japan,950307,yes,Vampire Hunter- Darkstalkers' Revenge,Capcom CPS-2,Darkstalkers,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vhuntjr1s,"Vampire Hunter- Darkstalkers' Revenge (JP, 950307, stop version)",Japan,"950307, stop version",yes,Vampire Hunter- Darkstalkers' Revenge,Capcom CPS-2,Darkstalkers,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vhuntjr2,"Vampire Hunter- Darkstalkers' Revenge (JP, 950302)",Japan,950302,yes,Vampire Hunter- Darkstalkers' Revenge,Capcom CPS-2,Darkstalkers,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsav,"Darkstalkers- Jedah's Damnation (EU, 970519, Aesthetic Mod v1.3) [hb]",Europe,"970519, Aesthetic Mod v1.3",yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,yes,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsav,"Vampire Savior- The Lord of Vampire (EU, 970519)",Europe,970519,no,,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsav,"Vampire Savior- The Lord of Vampire (EU, 9705199, Aesthetic Mod) [hb]",Europe,"9705199, Aesthetic Mod",yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,yes,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsav,"Vampire Savior- The Lord of Vampire (EU, 9705199, Aesthetic Mod) [hb]",Europe,"9705199, Aesthetic Mod",yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,yes,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsav,"Vampire Savior- The Lord of Vampire (EU, 9705199, Training Edition) [hb]",Europe,"9705199, Training Edition",yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,yes,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsav,"Vampire Savior- The Lord of Vampire (EU, 9705199, Unlocked)",Europe,"9705199, Unlocked",yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsav2,"Vampire Savior 2- The Lord of Vampire (JP, 970913)",Japan,970913,yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsava,"Vampire Savior- The Lord of Vampire (AS, 970519)",Asia,970519,yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsavb,"Vampire Savior- The Lord of Vampire (W, 970519)",World,970519,yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsavh,"Vampire Savior- The Lord of Vampire (HS, 970519)",Hispanic,970519,yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsavj,"Vampire Savior- The Lord of Vampire (JP, 970519)",Japan,970519,yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vsavu,"Vampire Savior- The Lord of Vampire (US, 970519)",USA,970519,yes,Vampire Savior- The Lord of Vampire,Capcom CPS-2,Darkstalkers,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
vulgus,Vulgus (Set 1),,Set 1,no,,,,no,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (alternating),8-way,,2
vulgusa,Vulgus (Set 2),,Set 2,yes,Vulgus,,,no,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (alternating),8-way,,2
vulgusj,Vulgus (JP),Japan,,yes,Vulgus,,,no,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (alternating),8-way,,2
wb31,"Wonder Boy III - Monster Lair (JP, Set 1)",Japan,Set 1,yes,Wonder Boy III,Sega System 16A,Wonder Boy,no,no,1988,Sega,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
wb32,"Wonder Boy III - Monster Lair (JP, Set 2)",Japan,Set 2,yes,Wonder Boy III,Sega System 16B,Wonder Boy,no,no,1988,Sega,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
wb33,"Wonder Boy III - Monster Lair (W, Set 3)",World,Set 3,yes,Wonder Boy III,Sega System 16B,Wonder Boy,no,no,1988,Sega,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
wb34,"Wonder Boy III - Monster Lair (JP, Set 4)",Japan,Set 4,yes,Wonder Boy III,Sega System 16B,Wonder Boy,no,no,1988,Sega,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
wb35,"Wonder Boy III - Monster Lair (JP, Set 5)",Japan,Set 5,yes,Wonder Boy III,Sega System 16A,Wonder Boy,no,no,1988,Sega,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
willow,Willow (W),World,,no,,Capcom CPS-1,,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
willowj,Willow (JP),Japan,,yes,Willow,Capcom CPS-1,,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
willowu,Willow (US),USA,,yes,Willow,Capcom CPS-1,,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
willowuo,"Willow (US, Old Ver)",USA,Old Ver,yes,Willow,Capcom CPS-1,,no,no,1989,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,3
wof,"Warriors of Fate (W, 921031)",World,921031,no,,Capcom CPS-1.5,Dynasty Wars,no,no,1992,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,,2
wofa,"Sangokushi II (AS, 921005)",Asia,921005,yes,Sangokushi II,Capcom CPS-1.5,,no,no,1992,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,,2
wofhfh,"Huo Feng Huang (Chinese, Sangokushi II) [bl]",,"Chinese, Sangokushi II",yes,Sangokushi II,Capcom CPS-1,,no,yes,1999,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,1
wofj,"Tenchi wo Kurau II- Sekiheki no Tatakai (JP, 921031)",Japan,921031,yes,Dynasty Wars,Capcom CPS-1.5,Dynasty Wars,no,no,1992,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,,2
wofu,"Warriors of Fate (US, 921031)",USA,921031,yes,Dynasty Wars,Capcom CPS-1.5,Dynasty Wars,no,no,1992,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,,2
wonder3,"Wonder 3 (JP, 910520)",Japan,910520,yes,Three Wonders,Capcom CPS-1,,no,no,1991,Capcom,Mixed,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
wrestwar1,"Wrestle War (JP, Set 1)",Japan,Set 1,yes,Wrestle War,Sega System 16B,,no,no,1989,Sega,Sports,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
wrestwar2,"Wrestle War (W, Set 2)",World,Set 2,yes,Wrestle War,Sega System 16B,,no,no,1989,Sega,Sports,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
xmcota,"X-Men- Children of the Atom (EU, 950331)",Europe,950331,no,,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotaa,"X-Men- Children of the Atom (AS, 950105)",Asia,950105,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotaar1,"X-Men- Children of the Atom (AS, 941219)",Asia,941219,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotaar2,"X-Men- Children of the Atom (AS, 941217)",Asia,941217,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotab,"X-Men- Children of the Atom (W, 950331)",World,950331,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotah,"X-Men- Children of the Atom (HS, 950331)",Hispanic,950331,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotahr1,"X-Men- Children of the Atom (HS, 950105)",Hispanic,950105,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotaj,"X-Men- Children of the Atom (JP, 950105)",Japan,950105,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotaj1,"X-Men- Children of the Atom (JP, 941222)",Japan,941222,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotaj2,"X-Men- Children of the Atom (JP, 941219, Unlocked)",Japan,"941219, Unlocked",yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotaj2,"X-Men- Children of the Atom (JP, 941219, Unlocked)",Japan,"941219, Unlocked",yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotaj2,"X-Men- Children of the Atom (JP, 941219)",Japan,941219,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotaj3,"X-Men- Children of the Atom (JP, 941217)",Japan,941217,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotajr,"X-Men- Children of the Atom (JP, 941208, rent version)",Japan,"941208, rent version",yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotar1,"X-Men- Children of the Atom (EU, 950105)",Europe,950105,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmcotau,"X-Men- Children of the Atom (US, 950105)",USA,950105,yes,X-Men- Children of the Atom,Capcom CPS-2,X-Men / Marvel,no,no,1994,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
xmvsf,"X-Men Vs. Street Fighter (EU, 961004)",Europe,961004,no,,Capcom CPS-2,Marvel / Capcom,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
