setname,name,name_notnice,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,joystick,special_controls,buttons
mshbr1,"Marvel Super Heroes (W, 951024)",Marvel Super Heroes (Brazil 951024),World,951024,yes,Marvel Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshh,"Marvel Super Heroes (HS, 951117)",Marvel Super Heroes (Hispanic 951117),Hispanic,951117,yes,Marvel Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshj,"Marvel Super Heroes (JP, 951117, Unlocked)",Marvel Super Heroes (Japan 951117) [Unlocked],Japan,"951117, Unlocked",yes,Marvel Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshj,"Marvel Super Heroes (JP, 951117, Unlocked)",Marvel Super Heroes (USA 951117) [Unlocked],Japan,"951117, Unlocked",yes,Marvel Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshj,"Marvel Super Heroes (JP, 951117)",Marvel Super Heroes (Japan 951117),Japan,951117,yes,Marvel Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshjr1,"Marvel Super Heroes (JP, 951024)",Marvel Super Heroes (Japan 951024),Japan,951024,yes,Marvel Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshu,"Marvel Super Heroes (US, 951024)",Marvel Super Heroes (USA 951024),USA,951024,yes,Marvel Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsf,"Marvel Super Heroes Vs. Street Fighter (EU, 970625)",Marvel Super Heroes Vs. Street Fighter (Euro 970625),Europe,970625,no,,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfa,"Marvel Super Heroes Vs. Street Fighter (AS, 970625)",Marvel Super Heroes Vs. Street Fighter (Asia 970625),Asia,970625,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfa1,"Marvel Super Heroes Vs. Street Fighter (AS, 970620)",Marvel Super Heroes Vs. Street Fighter (Asia 970620),Asia,970620,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfb,"Marvel Super Heroes Vs. Street Fighter (W, 970827)",Marvel Super Heroes Vs. Street Fighter (Brazil 970827),World,970827,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfb1,"Marvel Super Heroes Vs. Street Fighter (W, 970625)",Marvel Super Heroes Vs. Street Fighter (Brazil 970625),World,970625,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfh,"Marvel Super Heroes Vs. Street Fighter (HS, 970625)",Marvel Super Heroes Vs. Street Fighter (Hispanic 970625),Hispanic,970625,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfj,"Marvel Super Heroes Vs. Street Fighter (JP, 970707, Unlocked)",Marvel Super Heroes Vs. Street Fighter (Japan 970707) [Unlocked],Japan,"970707, Unlocked",yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfj,"Marvel Super Heroes Vs. Street Fighter (JP, 970707, Unlocked)",Marvel Super Heroes Vs. Street Fighter (USA 970625) [Unlocked],Japan,"970707, Unlocked",yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfj,"Marvel Super Heroes Vs. Street Fighter (JP, 970707)",Marvel Super Heroes Vs. Street Fighter (Japan 970707),Japan,970707,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfj1,"Marvel Super Heroes Vs. Street Fighter (JP, 970702)",Marvel Super Heroes Vs. Street Fighter (Japan 970702),Japan,970702,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfj2,"Marvel Super Heroes Vs. Street Fighter (JP, 970625)",Marvel Super Heroes Vs. Street Fighter (Japan 970625),Japan,970625,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfu,"Marvel Super Heroes Vs. Street Fighter (US, 970827)",Marvel Super Heroes Vs. Street Fighter (USA 970827),USA,970827,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mshvsfu1,"Marvel Super Heroes Vs. Street Fighter (US, 970625)",Marvel Super Heroes Vs. Street Fighter (USA 970625),USA,970625,yes,Marvel Super Heroes Vs. Street Fighter,Capcom CPS-2,Marvel / Capcom,no,no,1997,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
msword,"Magic Sword- Heroic Fantasy (W, 900725)",Magic Sword  Heroic Fantasy -World 900725-,World,900725,no,,Capcom CPS-1,,no,no,1990,Capcom,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
mswordj,"Magic Sword- Heroic Fantasy (JP, 900623)",Magic Sword  Heroic Fantasy -Japan 900623-,Japan,900623,yes,Magic Sword,Capcom CPS-1,,no,no,1990,Capcom,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
mswordr1,"Magic Sword- Heroic Fantasy (W, 900623)",Magic Sword  Heroic Fantasy -World 900623-,World,900623,yes,Magic Sword,Capcom CPS-1,,no,no,1990,Capcom,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
mswordu,"Magic Sword- Heroic Fantasy (US, 900715)",Magic Sword  Heroic Fantasy -USA 900725-,USA,900715,yes,Magic Sword,Capcom CPS-1,,no,no,1990,Capcom,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
mtwins,"Mega Twins (W, 900619)",Mega Twins -World 900619-,World,900619,no,,Capcom CPS-1,Mega Twins,no,no,1990,Capcom,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
mvsc,"Marvel Vs. Capcom- Clash of Super Heroes (EU, 980123)",Marvel Vs. Capcom Clash of Super Heroes (Euro 980123),Europe,980123,no,,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvsca,"Marvel Vs. Capcom- Clash of Super Heroes (AS, 980123)",Marvel Vs. Capcom Clash of Super Heroes (Asia 980123),Asia,980123,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscar1,"Marvel Vs. Capcom- Clash of Super Heroes (AS, 980112)",Marvel Vs. Capcom Clash of Super Heroes (Asia 980112),Asia,980112,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscb,"Marvel Vs. Capcom- Clash of Super Heroes (W, 980123)",Marvel Vs. Capcom Clash of Super Heroes (Brazil 980123),World,980123,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvsch,"Marvel Vs. Capcom- Clash of Super Heroes (HS, 980123)",Marvel Vs. Capcom Clash of Super Heroes (Hispanic 980123),Hispanic,980123,yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
mvscj,"Marvel Vs. Capcom- Clash of Super Heroes (JP, 980123, Unlocked)",Marvel Vs. Capcom Clash of Super Heroes (Japan 980123) [Unlocked],Japan,"980123, Unlocked",yes,Marvel Vs. Capcom- Clash of Super Heroes,Capcom CPS-2,Marvel / Capcom,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
