setname,name,name_notnice,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,joystick,special_controls,buttons
punisheru,"The Punisher (US, 930422)",The Punisher (USA 930422),USA,930422,yes,The Punisher,Capcom CPS-1.5,,no,no,1993,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
pzloop2,"Puzz Loop 2 (EU, 010302)",Puzz Loop 2 (Euro 010302),Europe,010302,no,,Capcom CPS-2,Puzz Loop,no,no,2001,Mitchell / Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,1
pzloop2j,"Puzz Loop 2 (JP, 010226)",Puzz Loop 2 (Japan 010226),Japan,010226,yes,Puzz Loop 2,Capcom CPS-2,Puzz Loop,no,no,2001,Mitchell / Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,1
pzloop2jr1,"Puzz Loop 2 (JP, 010205)",Puzz Loop 2 (Japan 010205),Japan,010205,yes,Puzz Loop 2,Capcom CPS-2,Puzz Loop,no,no,2001,Mitchell / Capcom,Puzzle,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,1
qad,"Quiz &amp; Dragons- Capcom Quiz Game (US, 920701)",Quiz &amp; Dragons- Capcom Quiz Game -USA 920701-,USA,920701,no,,Capcom CPS-1,,no,no,1992,Capcom,Quiz,,15kHz,horizontal,n/a,,2 (simultaneous),n/a,n/a,4
qadjr,"Quiz &amp; Dragons- Capcom Quiz Game (JP, Resale, 940921)",Quiz &amp; Dragons- Capcom Quiz Game -Japan Resale Ver. 940921-,Japan,"Resale, 940921",yes,Quiz &amp; Dragons,Capcom CPS-1,,no,no,1994,Capcom,Quiz,,15kHz,horizontal,n/a,,2 (simultaneous),n/a,n/a,4
qndream,"Quiz Nanairo Dreams- Nijiirochou no Kiseki (JP, 960826)",Quiz Nanairo Dreams Nijiirochou no Kiseki (Japan 960826),Japan,960826,no,,Capcom CPS-2,Puzz Loop,no,no,1996,Capcom,Quiz,,15kHz,horizontal,n/a,,2 (simultaneous),4-way,n/a,4
qtono2j,"Quiz Tonosama no Yabou 2- Zenkoku-ban (JP, 950123)",Quiz Tonosama no Yabou 2  Zenkoku-ban -Japan 950123-,Japan,950123,no,,Capcom CPS-1,,no,no,1995,Capcom,Quiz,,15kHz,horizontal,n/a,,2 (simultaneous),4-way,,1
ringdest,"Ring of Destruction- Slam Masters II (EU, 940902)",Ring of Destruction Slam Masters II (Euro 940902),Europe,940902,no,,Capcom CPS-2,Muscle Bomber,no,no,1994,Capcom,Sports,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ringdesta,"Ring of Destruction- Slam Masters II (AS, 940831)",Ring of Destruction Slam Masters II (Asia 940831),Asia,940831,yes,Ring of Destruction- Slam Masters II,Capcom CPS-2,Muscle Bomber,no,no,1994,Capcom,Sports,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
ringdesth,"Ring of Destruction- Slam Masters II (HS, 940902)",Ring of Destruction Slam Masters II (Hispanic 940902),Hispanic,940902,yes,Ring of Destruction- Slam Masters II,Capcom CPS-2,Muscle Bomber,no,no,1994,Capcom,Sports,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
rmancp2j,"Rockman- The Power Battle (JP, CPS-2, 950922)","Rockman The Power Battle (CPS2, Japan 950922)",Japan,"CPS-2, 950922",yes,Mega Man- The Power Battle,Capcom CPS-2,Mega Man,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
rockman2j,"Rockman 2- The Power Fighters (JP, 960708)",Rockman 2 The Power Fighters (Japan 960708),Japan,960708,yes,Mega Man 2- The Power Fighters,Capcom CPS-2,Mega Man,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,3
rockmanj,"Rockman- The Power Battle (JP, 950922)","Rockman  The Power Battle -CPS1, Japan 950922-",Japan,950922,yes,Mega Man- The Power Battle,Capcom CPS-1,Mega Man,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
ryukyu,"RyuKyu (JP, Rev A 317-5023A)","RyuKyu (Rev A, Japan) (FD1094 317-5023A)",Japan,"Rev A, FD1094 317-5023A",no,,Sega System 16B,,no,no,1990,Sega,Sports,,15kHz,horizontal,n/a,,1,8-way,,2
ryukyua,"RyuKyu (JP, FD1094 317-5023)",RyuKyu (Japan) (FD1094 317-5023),Japan,FD1094 317-5023,yes,RyuKyu,Sega System 16B,,no,no,1990,Sega,Sports,,15kHz,horizontal,n/a,,1,8-way,,2
sboblbobl,Super Bobble Bobble (Set 1) [bl],"Super Bobble Bobble (bootleg, set 1)",,Set 1,yes,Bubble Bobble,,Bubble Bobble,no,yes,1986,Taito,Puzzle - Platform,,15kHz,horizontal,n/a,,2 (simultaneous),2-way horizontal,,2
sboblbobla,Super Bobble Bobble (Set 2) [bl],"Super Bobble Bobble (bootleg, set 2)",,Set 2,yes,Bubble Bobble,,Bubble Bobble,no,yes,1986,Taito,Puzzle - Platform,,15kHz,horizontal,n/a,,2 (simultaneous),2-way horizontal,,2
sboblboblb,Super Bobble Bobble (Set 3) [bl],"Super Bobble Bobble (bootleg, set 3)",,Set 3,yes,Bubble Bobble,,Bubble Bobble,no,yes,1986,Taito,Puzzle - Platform,,15kHz,horizontal,n/a,,2 (simultaneous),2-way horizontal,,2
sboblboblc,Super Bubble Bobble [bl],Super Bubble Bobble (bootleg),,,yes,Bubble Bobble,,Bubble Bobble,no,yes,1986,Taito,Puzzle - Platform,,15kHz,horizontal,n/a,,2 (simultaneous),2-way horizontal,,2
sboblbobld,Super Bobble Bobble (Set 4) [bl],"Super Bobble Bobble (bootleg, set 4)",,Set 4,yes,Bubble Bobble,,Bubble Bobble,no,yes,1986,Taito,Puzzle - Platform,,15kHz,horizontal,n/a,,2 (simultaneous),2-way horizontal,,2
sectionz,Section Z,SectionZ,,,no,,,,no,no,1985,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
sf,"Street Fighter (US, Set 1)","Street Fighter (US, set 1)",USA,Set 1,no,,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2,"Street Fighter II- The Warrior (W, 910522)",Street Fighter II  The World Warrior -World 910522-,World,910522,no,,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2acc,"Street Fighter II'- Champion Edition (Accelerator, Set 1) [bl]","Street Fighter II'  Champion Edition -Accelerator!, bootleg, set 1-",,"Accelerator, Set 1",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2acca,"Street Fighter II'- Champion Edition (Accelerator, Set 2) [bl]","Street Fighter II'  Champion Edition -Accelerator!, bootleg, set 2-",,"Accelerator, Set 2",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2accp2,Street Fighter II'- Champion Edition (Accelerator Pt. II) [bl],"Street Fighter II'  Champion Edition -Accelerator Pt.II, bootleg-",,Accelerator Pt. II,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ce,"Street Fighter II'- Champion Edition (W, 920513)",Street Fighter II'  Champion Edition -World 920513-,World,920513,no,,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2cebltw,"Street Fighter II'- Champion Edition (Taiwan, PAL) [bl]",Street Fighter II'  Champion Edition -'Taiwan' bootleg with PAL-,,"Taiwan, PAL",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ceds6,Street Fighter II'- Champion Edition (DStreet-6) [bl],"Street Fighter II'  Champion Edition -Dstreet-6, bootleg-",,DStreet-6,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ceea,"Street Fighter II'- Champion Edition (W, 920313)",Street Fighter II'  Champion Edition -World 920313-,World,920313,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ceja,"Street Fighter II'- Champion Edition (JP, 920322)",Street Fighter II'  Champion Edition -Japan 920322-,Japan,920322,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2cejb,"Street Fighter II'- Champion Edition (JP, 920513)",Street Fighter II'  Champion Edition -Japan 920513-,Japan,920513,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2cejc,"Street Fighter II'- Champion Edition (JP, 920803)",Street Fighter II'  Champion Edition -Japan 920803-,Japan,920803,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2cems6a,"Street Fighter II'- Champion Edition (Mstreet-6, Set 1) [bl]","Street Fighter II'  Champion Edition -Mstreet-6, bootleg, set 1-",,"Mstreet-6, Set 1",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2cems6b,"Street Fighter II'- Champion Edition (Mstreet-6, Set 2) [bl]","Street Fighter II'  Champion Edition -Mstreet-6, bootleg, set 2-",,"Mstreet-6, Set 2",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2cems6c,"Street Fighter II'- Champion Edition (Mstreet-6, Set 3) [bl]","Street Fighter II'  Champion Edition -Mstreet-6, bootleg, set 3-",,"Mstreet-6, Set 3",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2cet,"Street Fighter II'- Champion Edition (TW, 920313)",Street Fighter II'  Champion Edition -Taiwan 920313-,Taiwan,920313,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ceua,"Street Fighter II'- Champion Edition (US, 920313)",Street Fighter II'  Champion Edition -USA 920313-,USA,920313,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ceub,"Street Fighter II'- Champion Edition (US, 920513)",Street Fighter II'  Champion Edition -USA 920513-,USA,920513,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ceuc,"Street Fighter II'- Champion Edition (US, 920803)",Street Fighter II'  Champion Edition -USA 920803-,USA,920803,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ceupl,Street Fighter II'- Champion Edition (UPL) [bl],Street Fighter II'  Champion Edition -UPL bootleg-,,UPL,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ea,"Street Fighter II- The Warrior (W, 910204)",Street Fighter II  The World Warrior -World 910204-,World,910204,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2eb,"Street Fighter II- The Warrior (W, 910214)",Street Fighter II  The World Warrior -World 910214-,World,910214,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ed,"Street Fighter II- The Warrior (W, 910318)",Street Fighter II  The World Warrior -World 910318-,World,910318,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2em,"Street Fighter II- The Warrior (W, 910129)",Street Fighter II  The World Warrior -World 910129-,World,910129,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2en,"Street Fighter II- The Warrior (W, 910204, Conversion)","Street Fighter II  The World Warrior -World 910204, conversion-",World,"910204, Conversion",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2hf,"Street Fighter II'- Hyper Fighting (W, 921209)",Street Fighter II'  Hyper Fighting -World 921209-,World,921209,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2hfj,"Street Fighter II' Turbo- Hyper Fighting (JP, 921209)",Street Fighter II' Turbo  Hyper Fighting -Japan 921209-,Japan,921209,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2hfu,"Street Fighter II'- Hyper Fighting (US, 921209)",Street Fighter II'  Hyper Fighting -USA 921209-,USA,921209,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2j,"Street Fighter II- The Warrior (JP, 911210, CPS-B-13)","Street Fighter II  The World Warrior -Japan 911210, CPS-B-13-",Japan,"911210, CPS-B-13",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2j17,"Street Fighter II- The Warrior (JP, 911210, CPS-B-17)","Street Fighter II  The World Warrior -Japan 911210, CPS-B-17-",Japan,"911210, CPS-B-17",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ja,"Street Fighter II- The Warrior (JP, 910214)",Street Fighter II  The World Warrior -Japan 910214-,Japan,910214,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2jc,"Street Fighter II- The Warrior (JP, 910306)",Street Fighter II  The World Warrior -Japan 910306-,Japan,910306,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2jf,"Street Fighter II- The Warrior (JP, 910411)",Street Fighter II  The World Warrior -Japan 910411-,Japan,910411,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2jh,"Street Fighter II- The Warrior (JP, 910522)",Street Fighter II  The World Warrior -Japan 910522-,Japan,910522,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2jl,"Street Fighter II- The Warrior (JP, 920312)",Street Fighter II  The World Warrior -Japan 920312-,Japan,920312,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2level,Street Fighter II'- Champion Edition (Level Selection) [bl],Street Fighter II'  Champion Edition -bootleg with level selection-,,Level Selection,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2m10,Street Fighter II'- Champion Edition (M10) [bl],"Street Fighter II'  Champion Edition -M10, bootleg-",,M10,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2m3,Street Fighter II'- Champion Edition (M3) [bl],"Street Fighter II'  Champion Edition -M3, bootleg-",,M3,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2mix,Street Fighter 2 Mix (v0.98c) [hb],Street Fighter 2 Mix (Ver 0.98c 201214),,v0.98c,yes,Street Fighter II,Capcom CPS-1,Street Fighter,yes,no,2020,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2qp1,Street Fighter II- The Warrior (Quicken Pt. 1) [bl],"Street Fighter II  The World Warrior -Quicken Pt-I, bootleg-",,Quicken Pt. 1,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2qp2,Street Fighter II- The Warrior (Quicken) [bl],"Street Fighter II  The World Warrior -Quicken, bootleg-",,Quicken,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2rb3,"Street Fighter II'- Champion Edition (Rainbow, Set 3) [bl]","Street Fighter II'  Champion Edition -Rainbow, bootleg, set 3-",,"Rainbow, Set 3",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2re,Street Fighter II'- Champion Edition (RE) [bl],"Street Fighter II'  Champion Edition -RE, bootleg-",,RE,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2red,Street Fighter II'- Champion Edition (Red Wave) [bl],"Street Fighter II'  Champion Edition -Red Wave, bootleg-",,Red Wave,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2redp2,Street Fighter II'- Champion Edition (Red Wave Pt. II) [bl],"Street Fighter II'  Champion Edition -Red Wave PtII, bootleg-",,Red Wave Pt. II,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ua,"Street Fighter II- The Warrior (US, 910206)",Street Fighter II  The World Warrior -USA 910206-,USA,910206,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ub,"Street Fighter II- The Warrior (US, 910214)",Street Fighter II  The World Warrior -USA 910214-,USA,910214,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2uc,"Street Fighter II- The Warrior (US, 910306)",Street Fighter II  The World Warrior -USA 910306-,USA,910306,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ud,"Street Fighter II- The Warrior (US, 910318)",Street Fighter II  The World Warrior -USA 910318-,USA,910318,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2uf,"Street Fighter II- The Warrior (US, 910411)",Street Fighter II  The World Warrior -USA 910411-,USA,910411,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ug,"Street Fighter II- The Warrior (US, 910522, Rev G)","Street Fighter II  The World Warrior -USA 910522, Rev. G-",USA,"910522, Rev G",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2uh,"Street Fighter II- The Warrior (US, 910522, Rev H)","Street Fighter II  The World Warrior -USA 910522, Rev. H-",USA,"910522, Rev H",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2ui,"Street Fighter II- The Warrior (US, 910522, Rev I)","Street Fighter II  The World Warrior -USA 910522, Rev. I-",USA,"910522, Rev I",yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2uk,"Street Fighter II- The Warrior (US, 911101)",Street Fighter II  The World Warrior -USA 911101-,USA,911101,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1991,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2v004,Street Fighter II'- Champion Edition [bl],"Street Fighter II'  Champion Edition -V004, bootleg-",,,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,yes,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sf2wwce,"Street Fighter II'- Champion Edition (ET, 910522)",Street Fighter II The World Warrior Champion Edition -Etc 910522-,Etc.,910522,yes,Street Fighter II,Capcom CPS-1,Street Fighter,no,no,1992,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfa,"Street Fighter Alpha- Warriors' Dreams (EU, 950727)",Street Fighter Alpha Warriors Dreams (Euro 950727),Europe,950727,no,,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa2,"Street Fighter Alpha 2 (EU, 960229, Training Edition) [hb]",Street Fighter Alpha 2 (Euro 960229) [Training Edition],Europe,"960229, Training Edition",yes,Street Fighter Alpha 2,Capcom CPS-2,Street Fighter,yes,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa2,"Street Fighter Alpha 2 (EU, 960229)",Street Fighter Alpha 2 (Euro 960229),Europe,960229,no,,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa2u,"Street Fighter Alpha 2 (US, 960430)",Street Fighter Alpha 2 (USA 960430),USA,960430,yes,Street Fighter Alpha 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa2ur1,"Street Fighter Alpha 2 (US, 960306)",Street Fighter Alpha 2 (USA 960306),USA,960306,yes,Street Fighter Alpha 2,Capcom CPS-2,Street Fighter,no,no,1996,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3,"Street Fighter Alpha 3 (EU, 980904)",Street Fighter Alpha 3 (Euro 980904),Europe,980904,no,,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3b,"Street Fighter Alpha 3 (W, 980629)",Street Fighter Alpha 3 (Brazil 980629),World,980629,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3ce,"Street Fighter Alpha 3- Challenger's Edition (US, 210408)",Street Fighter Alpha 3 Challengers Edition (USA 210408),USA,210408,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3ce,"Street Fighter Alpha 3- Challenger's Edition (US, 210408)",Street Fighter Zero 3 Challengers Edition (USA 210408),USA,210408,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3h,"Street Fighter Alpha 3 (HS, 980904)",Street Fighter Alpha 3 (Hispanic 980904),Hispanic,980904,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3hr1,"Street Fighter Alpha 3 (HS, 980629)",Street Fighter Alpha 3 (Hispanic 980629),Hispanic,980629,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3u,"Street Fighter Alpha 3 (US, 980904)",Street Fighter Alpha 3 (USA 980904),USA,980904,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3ur1,"Street Fighter Alpha 3 (US, 980629)",Street Fighter Alpha 3 (USA 980629),USA,980629,yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfa3us,"Street Fighter Alpha 3 (US, 980616, SAMPLE Version)","Street Fighter Alpha 3 (USA 980616, SAMPLE Version)",USA,"980616, SAMPLE Version",yes,Street Fighter Alpha 3,Capcom CPS-2,Street Fighter,no,no,1998,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfach,"Street Fighter Alpha- Warriors' Dreams (US, CPS Changer, 950727)","Street Fighter Alpha  Warriors' Dreams -CPS Changer, Publicity USA 950727-",USA,"CPS Changer, 950727",no,,Capcom CPS-1,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfan,"Street Fighter (W, Pneumatic Buttons)","Street Fighter (World, pneumatic buttons)",World,Pneumatic Buttons,yes,Street Fighter,Capcom CPS-0,Street Fighter,no,no,1987,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,6
sfar1,"Street Fighter Alpha- Warriors' Dreams (EU, 950718)",Street Fighter Alpha Warriors Dreams (Euro 950718),Europe,950718,yes,Street Fighter Alpha- Warriors' Dreams,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfar2,"Street Fighter Alpha- Warriors' Dreams (EU, 950627)",Street Fighter Alpha Warriors Dreams (Euro 950627),Europe,950627,yes,Street Fighter Alpha- Warriors' Dreams,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
sfar3,"Street Fighter Alpha- Warriors' Dreams (EU, 950605)",Street Fighter Alpha Warriors Dreams (Euro 950605),Europe,950605,yes,Street Fighter Alpha- Warriors' Dreams,Capcom CPS-2,Street Fighter,no,no,1995,Capcom,Fighting,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,6
